x,y,z
-0.013229,-0.0326278,0.662549
-0.00523643,-0.02472,0.656193
-0.0106818,-0.0323805,0.664702
-0.00177336,-0.018148,0.659372
-0.0369519,-0.029711,0.67422
-0.0129988,-0.0288274,0.672417
-0.00607942,-0.0256897,0.671907
-0.0121998,-0.0272984,0.675528
-0.0122826,-0.0268303,0.677545
-0.00219297,-0.0237259,0.67461
-0.0357774,-0.0272735,0.681769
-0.00105719,-0.023149,0.675756
-0.0315527,-0.0281031,0.684252
-0.0268704,-0.0283365,0.684164
-0.00863767,-0.0242966,0.679783
-0.00779546,-0.023878,0.679667
-0.0174012,-0.0275708,0.683393
-0.0184539,-0.0282102,0.684071
-0.0345492,-0.0259967,0.686259
-0.0534877,-0.0152795,0.68282
-0.0361202,-0.0241306,0.689439
0.00319595,-0.00989961,0.675462
0.00108477,-0.0168194,0.681914
-0.0178395,-0.0250993,0.690545
-0.0287442,-0.024211,0.691184
-0.00718911,-0.0208176,0.687148
-0.052766,-0.0123731,0.686011
0.00725404,-0.00428111,0.674707
-0.015347,-0.0243613,0.691618
0.0101554,-0.00171432,0.673767
0.00047186,-0.018297,0.686853
-0.0484379,-0.0159213,0.692678
-0.00607475,-0.0212149,0.692185
-0.0334391,-0.0227933,0.696351
0.00897987,-0.00635723,0.683977
0.0074066,-0.011066,0.688095
0.0121915,0.00331842,0.678067
0.0139768,0.00551664,0.676691
-0.0482457,-0.0134009,0.701564
-0.0527855,-0.0102635,0.699805
-0.0598897,-0.00486278,0.69809
-0.0362264,-0.0165613,0.70479
0.00320963,-0.0101127,0.695829
-0.00298745,-0.0147257,0.700014
0.0111935,0.00516206,0.685109
-0.0140883,-0.0182897,0.704409
-0.00662932,-0.0166492,0.703122
-0.0067118,-0.0160709,0.702755
-0.00993943,-0.0187173,0.705171
-0.0225509,-0.0185127,0.706474
-0.0173277,-0.0178581,0.705563
-0.0110746,-0.0188703,0.706844
0.0148732,0.0133089,0.6898
-0.0159723,-0.0140801,0.711967
-0.0158615,-0.0139091,0.713163
-0.0021138,-0.00833435,0.708808
-0.00870335,-0.0106585,0.711165
0.0137929,0.0132699,0.694354
0.00276694,-0.00352343,0.707672
0.00269763,-0.00347902,0.707619
-0.0360697,-0.0129155,0.718831
-0.0281368,-0.0123767,0.718864
-0.0361213,-0.011787,0.719461
0.0126556,0.0107275,0.699213
0.00839883,0.00236345,0.707555
